PLAYER NAME,Scoring Average,Total Strokes Gained,GIR Percentage,Putts Per Hole,Scrambling Percentage,Hit Fairway Percentage,Driving Accuracy Percentage,Driving Distance,Expected Score from Fairway
Lanto Griffin,70.69,47.34,65.12,1.595,58.58,57.01,57.02,302.9,1 Under
Seamus Power,69.71,42.537,68.2,1.592,65.96,63.29,62.56,295.1,1 Under
Webb Simpson,69.19,76.433,69.37,1.582,64.95,66.27,67.08,292.5,1 Under
Max Homa,70.6,21.936,63.89,1.578,59.93,58.14,58.44,300.8,1 Under
Jordan Spieth,69.94,79.138,64.58,1.558,61.32,52.41,53.92,299.5,1 Under
Cameron Tringale,69.79,88.465,67.63,1.578,64.37,61.25,61.17,297.5,1 Under
Luke Donald,71.2,-28.577,67.06,1.638,58.13,58.9,57.58,286.1,Under
Aaron Wise,70.16,28.856,70.35,1.647,58.78,60.52,60.04,300.6,1 Under
Adam Scott,70.65,43.589,65.35,1.608,52.56,55.34,55.26,306,Under
Scott Stallings,70.39,8.34,68.2,1.626,62.76,60.23,59.26,297.4,1 Under
Matthew Wolff,70.93,-8.563,64.95,1.616,52.16,51.94,51.04,315.9,Under
Hank Lebioda,70.07,37.448,69.14,1.616,64.5,61.02,61.16,295,1 Under
Joaquin Niemann,69.67,100.059,68.57,1.607,60.14,58.98,59.2,310.6,2 Under
Dustin Johnson,69.6,77.661,66.67,1.583,59.95,57.03,57.87,312.9,1 Under
Chris Kirk,69.97,56.135,68.35,1.597,63.88,63.33,63.44,291.9,1 Under
Tom Hoge,70.67,6.809,62.62,1.567,60.68,64.33,63.7,289.2,1 Under
Cameron Smith,69.49,76.304,65.72,1.542,62.25,59.25,59.23,297.9,1 Under
Bryson DeChambeau,69.58,123.959,67.15,1.591,59.2,54.78,54.18,323.7,2 Under
Gary Woodland,71.53,5.586,62.94,1.611,53.32,56.02,55.01,309.5,Even
Jason Kokrak,69.99,80.04,69.19,1.612,55.74,61.22,60.18,307.9,1 Under
Patrick Reed,70.09,86.676,62.11,1.545,62.97,63.2,63.21,291.4,1 Under
Sergio Garcia,69.85,50.068,70.05,1.632,62.16,61.34,61.18,309.4,1 Under
Jhonattan Vegas,70.14,42.442,68.81,1.631,56.48,56.64,56.94,312.1,1 Under
Luke List,70.48,19.919,68.41,1.64,58.7,56.03,55.48,312.7,1 Under
Ryan Palmer,70.19,33.901,65.54,1.584,61.87,60.28,59.98,304.6,1 Under
Bo Hoag,70.45,28.259,69.67,1.636,61.26,64.97,63.92,290.7,1 Under
C.T. Pan,70.65,17.819,65.83,1.622,60.37,59.51,61.11,296.3,Under
Sebastián Muñoz,70.51,30.654,66.67,1.602,58.82,62.74,62.96,297.5,1 Under
Sungjae Im,69.82,110.314,69.08,1.597,61.41,68.77,69.12,297.1,2 Under
Camilo Villegas,70.57,8.088,65.58,1.609,60.8,57.3,56.44,292.5,1 Under
Roger Sloan,70.23,22.654,68.77,1.626,60.74,63,61.78,295.8,1 Under
Doc Redman,70.74,-1.594,65.86,1.61,62.1,65.37,64.87,294,Under
Joseph Bramlett,70.83,-6.888,68.87,1.655,57.44,56.16,56.89,309.6,Under
Martin Laird,71.13,-1.755,69.44,1.664,56.59,68.88,68.84,295.9,1 Under
Jason Dufner,71.03,0.222,65.96,1.626,61.1,64.65,64.52,289.6,Under
Pat Perez,70.26,46.207,66.26,1.6,63.12,64.38,62.03,292.2,1 Under
Charl Schwartzel,70.86,28.978,66.86,1.623,60.04,57.13,57.76,303,1 Under
K.J. Choi,71.62,-51.079,62.82,1.613,59.48,66.72,66.94,269.2,Over
Lucas Glover,70.6,29.183,66.72,1.617,58.61,64.09,64.05,294.9,1 Under
Patton Kizzire,69.76,55.538,67.76,1.567,58.95,57.66,58.03,300.9,2 Under
Lee Westwood,71.24,13.825,64.78,1.621,54.45,61.81,62.93,294.1,Under
Branden Grace,70.64,24.135,64.47,1.59,59.07,54.69,55.5,293.8,Under
Cam Davis,70.28,42.46,65.31,1.584,56.9,56.81,56.11,309,1 Under
D.J. Trahan,71.24,-33.441,65.57,1.642,57.7,55.64,57.05,291.9,Under
Joel Dahmen,70.79,-1.865,65.24,1.597,58.67,68.27,67.57,292.3,1 Under
Chase Seiffert,70.63,-2.325,66.74,1.618,59.96,66.03,65.23,290.9,Under
Scottie Scheffler,69.81,78.314,68.08,1.592,58.79,62.49,63.49,305,2 Under
Erik van Rooyen,70.62,34.81,64.38,1.597,58.33,61.62,61.12,305.3,1 Under
